epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,12829.5,0.54964,0.27911,0.84981,0.98902,0.94715,0.9773,0.81671,0.50462,0.24092,0.82085,0.000366877,0.000366877,0.000366877
181,12902.5,0.55832,0.28152,0.85058,0.98894,0.94757,0.97731,0.81652,0.50442,0.24054,0.8208,0.00034227,0.00034227,0.00034227
182,12975.3,0.55215,0.28051,0.85207,0.98893,0.94733,0.97733,0.81621,0.50435,0.24033,0.82076,0.000318825,0.000318825,0.000318825
183,13047.9,0.55337,0.27989,0.85043,0.9889,0.94767,0.97731,0.81569,0.50419,0.24017,0.82074,0.000296546,0.000296546,0.000296546
184,13121.7,0.54696,0.27762,0.84656,0.98877,0.94808,0.97733,0.81541,0.50389,0.23999,0.82064,0.000275441,0.000275441,0.000275441
185,13195,0.54952,0.2781,0.84736,0.98879,0.94802,0.97734,0.81579,0.50392,0.24024,0.8206,0.000255513,0.000255513,0.000255513
186,13268.2,0.54894,0.27845,0.84963,0.98835,0.94822,0.97734,0.81514,0.50355,0.24038,0.8205,0.000236769,0.000236769,0.000236769
187,13341.9,0.5462,0.27693,0.8493,0.98832,0.94828,0.97736,0.8153,0.50326,0.2404,0.82046,0.000219212,0.000219212,0.000219212
188,13416.5,0.54542,0.27688,0.84804,0.98827,0.94829,0.97737,0.81584,0.50322,0.24055,0.82037,0.000202847,0.000202847,0.000202847
189,13493.4,0.54792,0.27754,0.84784,0.9882,0.94829,0.97736,0.8154,0.50292,0.24052,0.82029,0.000187678,0.000187678,0.000187678
190,13570.1,0.54245,0.27525,0.84761,0.9882,0.94833,0.97736,0.81556,0.50275,0.23996,0.82022,0.000173709,0.000173709,0.000173709
191,13646.7,0.52701,0.25439,0.8306,0.98808,0.94839,0.97736,0.81552,0.50248,0.24019,0.82022,0.000160943,0.000160943,0.000160943
192,13722.1,0.52026,0.25172,0.82975,0.98808,0.9484,0.97765,0.81494,0.5025,0.24011,0.8202,0.000149383,0.000149383,0.000149383
193,13797.2,0.51975,0.2496,0.83039,0.98796,0.94852,0.97763,0.81556,0.50234,0.23997,0.82016,0.000139032,0.000139032,0.000139032
194,13872.9,0.51978,0.24933,0.83051,0.98802,0.9485,0.97765,0.81563,0.50235,0.23991,0.82012,0.000129893,0.000129893,0.000129893
195,13948.3,0.51692,0.24856,0.82837,0.98801,0.9485,0.97763,0.81509,0.5024,0.24009,0.82013,0.000121968,0.000121968,0.000121968
196,14023.5,0.51748,0.24926,0.83069,0.98803,0.94849,0.97764,0.81524,0.50205,0.24026,0.82006,0.000115259,0.000115259,0.000115259
