epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2989.43,0.72844,0.42534,0.8998,0.96063,0.91156,0.95178,0.75819,0.59615,0.31047,0.84906,0.00900844,0.00900844,0.00900844
43,3059.02,0.73372,0.42463,0.90243,0.95627,0.92102,0.95458,0.76189,0.59722,0.30861,0.84879,0.00896127,0.00896127,0.00896127
44,3128.74,0.73583,0.4277,0.90035,0.95562,0.93241,0.95906,0.77097,0.59081,0.30717,0.8459,0.00891313,0.00891313,0.00891313
45,3198.99,0.7328,0.42458,0.89714,0.9604,0.93517,0.95833,0.76722,0.59093,0.30346,0.84651,0.00886404,0.00886404,0.00886404
46,3269.14,0.72418,0.41805,0.89644,0.96948,0.92459,0.95489,0.76344,0.58952,0.30581,0.84765,0.00881401,0.00881401,0.00881401
47,3339.2,0.72125,0.42071,0.89522,0.9809,0.9248,0.96251,0.77285,0.57962,0.30144,0.84306,0.00876305,0.00876305,0.00876305
48,3410.31,0.72385,0.41852,0.89815,0.97539,0.92848,0.95926,0.76513,0.58379,0.29942,0.84534,0.00871117,0.00871117,0.00871117
49,3480.05,0.72121,0.41727,0.89804,0.96279,0.92785,0.95779,0.76641,0.57846,0.29866,0.84347,0.00865839,0.00865839,0.00865839
50,3550.21,0.72286,0.41654,0.89664,0.98465,0.92971,0.96217,0.77519,0.58305,0.29571,0.84564,0.00860473,0.00860473,0.00860473
51,3619.69,0.71465,0.40731,0.89135,0.97504,0.93629,0.96133,0.76983,0.58204,0.2956,0.8447,0.00855018,0.00855018,0.00855018
52,3689.58,0.71406,0.4112,0.89314,0.97319,0.92072,0.95874,0.76998,0.57899,0.29555,0.84401,0.00849477,0.00849477,0.00849477
53,3759.45,0.72263,0.41742,0.89957,0.96297,0.93262,0.96144,0.77089,0.57933,0.29791,0.84316,0.00843851,0.00843851,0.00843851
54,3829.39,0.71376,0.41057,0.89459,0.96982,0.93046,0.9636,0.77016,0.57556,0.292,0.84193,0.00838141,0.00838141,0.00838141
55,3899.12,0.71037,0.40773,0.89334,0.97913,0.94234,0.96488,0.77292,0.57276,0.2928,0.84099,0.00832349,0.00832349,0.00832349
56,3968.99,0.71471,0.40769,0.8938,0.97945,0.92965,0.96569,0.77847,0.56669,0.28681,0.8399,0.00826477,0.00826477,0.00826477
57,4038.39,0.70692,0.40354,0.89036,0.97908,0.93436,0.96433,0.7749,0.57227,0.28969,0.84002,0.00820525,0.00820525,0.00820525
58,4108.5,0.70709,0.40581,0.88961,0.98447,0.9357,0.96535,0.7758,0.56759,0.28766,0.84044,0.00814495,0.00814495,0.00814495
59,4178.9,0.7016,0.40277,0.89109,0.98273,0.93343,0.96707,0.77748,0.5625,0.28504,0.83974,0.00808389,0.00808389,0.00808389
60,4248.36,0.70456,0.40206,0.89029,0.97308,0.9436,0.96775,0.77958,0.56627,0.28559,0.84118,0.00802208,0.00802208,0.00802208
61,4318.57,0.69896,0.3978,0.89071,0.98427,0.93774,0.96454,0.78136,0.56383,0.2859,0.84159,0.00795954,0.00795954,0.00795954
62,4388.97,0.70864,0.40143,0.89133,0.98057,0.93668,0.96343,0.7809,0.56514,0.28315,0.84096,0.00789628,0.00789628,0.00789628
63,4459.22,0.70245,0.40121,0.89153,0.98317,0.9341,0.96598,0.78167,0.56406,0.28136,0.83896,0.00783231,0.00783231,0.00783231
