epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,13507.4,1.35797,0.55034,1.21327,0.97565,0.98407,0.99057,0.62464,1.40727,0.46791,1.29097,0.005842,0.005842,0.005842
44,13803.5,1.35319,0.55014,1.21432,0.98577,0.97588,0.98996,0.62617,1.40654,0.46626,1.2945,0.005743,0.005743,0.005743
45,14099,1.35032,0.55016,1.21397,0.98315,0.98267,0.98986,0.62515,1.40121,0.46482,1.29443,0.005644,0.005644,0.005644
46,14393.8,1.35142,0.54808,1.21159,0.98425,0.98208,0.99006,0.62514,1.40028,0.46506,1.28866,0.005545,0.005545,0.005545
47,14690.2,1.34683,0.54427,1.20405,0.9833,0.98097,0.98943,0.62342,1.40004,0.46353,1.28797,0.005446,0.005446,0.005446
48,15133.3,1.34495,0.54695,1.21027,0.98367,0.98016,0.99003,0.62231,1.40202,0.4648,1.29118,0.005347,0.005347,0.005347
49,15587.2,1.33833,0.5385,1.20789,0.9852,0.97996,0.98945,0.62586,1.40349,0.46353,1.29372,0.005248,0.005248,0.005248
50,15994,1.3325,0.53669,1.20066,0.98551,0.98051,0.98957,0.62565,1.40598,0.45981,1.29254,0.005149,0.005149,0.005149
51,16284.6,1.33056,0.53731,1.20519,0.98484,0.98059,0.98937,0.6254,1.40262,0.4612,1.291,0.00505,0.00505,0.00505
52,16576.4,1.32854,0.53115,1.20248,0.9876,0.98165,0.99079,0.62834,1.40208,0.45787,1.29198,0.004951,0.004951,0.004951
53,16868.4,1.33174,0.53855,1.20114,0.98765,0.98318,0.99069,0.62546,1.40093,0.45604,1.29186,0.004852,0.004852,0.004852
54,17160.6,1.31967,0.52834,1.19751,0.98585,0.98418,0.99076,0.62306,1.39882,0.45243,1.29275,0.004753,0.004753,0.004753
55,17453.7,1.32373,0.53315,1.1963,0.98612,0.98156,0.9901,0.62482,1.40107,0.45346,1.2944,0.004654,0.004654,0.004654
56,17747.3,1.33079,0.52937,1.19808,0.98683,0.98017,0.99011,0.62476,1.40326,0.45388,1.29504,0.004555,0.004555,0.004555
57,18041.2,1.31829,0.52126,1.19361,0.98668,0.98089,0.99021,0.62822,1.40456,0.45497,1.29669,0.004456,0.004456,0.004456
58,18335.7,1.31907,0.52232,1.19364,0.98684,0.98035,0.99039,0.62784,1.40398,0.45434,1.29531,0.004357,0.004357,0.004357
59,18629.1,1.31489,0.52254,1.18719,0.98534,0.98253,0.99108,0.62873,1.40524,0.45368,1.29559,0.004258,0.004258,0.004258
60,18922.2,1.30995,0.51899,1.19062,0.98453,0.98195,0.9909,0.62838,1.40413,0.45154,1.29396,0.004159,0.004159,0.004159
61,19216.2,1.30769,0.51832,1.18855,0.98396,0.98369,0.99091,0.62774,1.40398,0.4528,1.29508,0.00406,0.00406,0.00406
62,19509.8,1.30524,0.51357,1.18561,0.98162,0.98319,0.98991,0.62864,1.4044,0.45223,1.29444,0.003961,0.003961,0.003961
63,19804.8,1.31008,0.51733,1.18836,0.98072,0.98332,0.9899,0.62575,1.40444,0.45259,1.29446,0.003862,0.003862,0.003862
64,20098.8,1.29947,0.50933,1.18697,0.98165,0.98315,0.98978,0.62616,1.40515,0.45234,1.29592,0.003763,0.003763,0.003763
65,20392.1,1.29506,0.50807,1.18163,0.98424,0.97924,0.98965,0.62784,1.40496,0.4522,1.29588,0.003664,0.003664,0.003664
66,20685.2,1.29821,0.50829,1.17677,0.98291,0.98342,0.9896,0.6277,1.4056,0.45147,1.29564,0.003565,0.003565,0.003565
67,20979.2,1.28791,0.50674,1.17702,0.98316,0.98376,0.98969,0.62734,1.40646,0.4521,1.29552,0.003466,0.003466,0.003466
68,21273.4,1.28629,0.50346,1.17477,0.98434,0.98392,0.99036,0.62741,1.40605,0.44969,1.29531,0.003367,0.003367,0.003367
69,21567.1,1.28584,0.50192,1.17802,0.9844,0.98003,0.98936,0.62521,1.40632,0.4484,1.29574,0.003268,0.003268,0.003268
70,21860.4,1.28223,0.50099,1.17989,0.98503,0.97968,0.98937,0.62417,1.40652,0.44922,1.29662,0.003169,0.003169,0.003169
71,22154.4,1.27849,0.49479,1.17115,0.9855,0.98118,0.99003,0.62491,1.40643,0.44907,1.2967,0.00307,0.00307,0.00307
72,22449.6,1.2703,0.49735,1.17367,0.98557,0.98082,0.99006,0.62478,1.40633,0.44904,1.29706,0.002971,0.002971,0.002971
73,22744.3,1.26893,0.49231,1.17112,0.98507,0.98175,0.9901,0.62424,1.40704,0.44797,1.29823,0.002872,0.002872,0.002872
74,23039,1.27353,0.49175,1.17337,0.98315,0.98414,0.99011,0.62453,1.40725,0.44736,1.29835,0.002773,0.002773,0.002773
75,23332.8,1.27367,0.49194,1.16912,0.98496,0.98111,0.9901,0.62414,1.40742,0.44763,1.29869,0.002674,0.002674,0.002674
76,23627.1,1.26505,0.48895,1.16407,0.985,0.98033,0.99023,0.62467,1.40773,0.44757,1.29898,0.002575,0.002575,0.002575
77,23921.8,1.26426,0.48678,1.16107,0.98532,0.98046,0.99057,0.62651,1.40823,0.44664,1.29932,0.002476,0.002476,0.002476
78,24216.3,1.25262,0.48055,1.15381,0.98533,0.98022,0.99065,0.626,1.40862,0.44632,1.29978,0.002377,0.002377,0.002377
